title,date,subject,gilligan_related,url,author,section,subject_type,notes
A New ABC Marvel Show Won,2020-01-08T20:30:28+00:00,,review,https://www.slashfilm.com/571514/new-marvel-abc-shows/,,,,Automated collection; review subject and Gilligan flag manually.
6 Hollywood Lessons Learned The Hard Way By Gay Horror Filmmakers - SlashFilm,2020-01-08T21:00:37+00:00,,review,https://www.slashfilm.com/571503/lessons-from-gay-horror-filmmakers/,,,,Automated collection; review subject and Gilligan flag manually.
Mel Brooks Is Bringing His,2020-01-08T21:30:01+00:00,,review,https://www.slashfilm.com/571515/young-frankenstein-musical-tv-special/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T22:00:00+00:00,,review,https://www.slashfilm.com/571507/new-mutants-rating-update/,,,,Automated collection; review subject and Gilligan flag manually.
"Water Cooler: Cats, Marriage Story, Uncut Gems, Don",2020-01-08T22:15:34+00:00,,review,https://www.slashfilm.com/571518/water-cooler-cats-marriage-story-uncut-gems-dont-f-k-with-cats-killing-eve-little-women-klaus-the-movies-that-made-us-john-mulaney-and-the-sack-lunch-bunch/,,,,Automated collection; review subject and Gilligan flag manually.
"Oscars Going Hostless Again This Year, ABC Jokes Baby Yoda Should Host Emmys [TCA 2020] - SlashFilm",2020-01-08T22:30:22+00:00,,review,https://www.slashfilm.com/571517/2020-oscars-host/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-08T23:00:16+00:00,,review,https://www.slashfilm.com/571502/mythic-quest-ravens-banquet-trailer/,,,,Automated collection; review subject and Gilligan flag manually.
"Quibi Created A New Viewing Experience Called ""Turnstyle"" - SlashFilm",2020-01-08T23:30:53+00:00,,review,https://www.slashfilm.com/571510/quibi-viewing/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-09T00:00:00+00:00,,review,https://www.slashfilm.com/571504/the-walking-dead-world-beyond-crossovers/,,,,Automated collection; review subject and Gilligan flag manually.
How,2020-01-09T00:30:35+00:00,,review,https://www.slashfilm.com/571511/star-trek-picard-inspiration-logan-patrick-stewart/,,,,Automated collection; review subject and Gilligan flag manually.
Cary Fukunaga,2020-01-09T01:00:50+00:00,,review,https://www.slashfilm.com/571512/last-of-the-mohicans-tv-show-heads-to-hbo-max/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-09T01:30:14+00:00,,review,https://www.slashfilm.com/571509/nine-perfect-strangers-cast/,,,,Automated collection; review subject and Gilligan flag manually.
Superhero Bits: Burger King Targets New Yorkers Upset By,2020-01-09T02:00:35+00:00,,review,https://www.slashfilm.com/571508/superhero-bits-1880/,,,,Automated collection; review subject and Gilligan flag manually.
"The Morning Watch: Examining Movie Tattoos, Remembering",2020-01-09T13:00:10+00:00,,review,https://www.slashfilm.com/571516/the-morning-watch-examining-movie-tattoos-remembering-jackie-chan-adventures-more/,,,,Automated collection; review subject and Gilligan flag manually.
Cool Stuff: It,2020-01-09T14:00:44+00:00,,review,https://www.slashfilm.com/571521/captain-america-vs-captain-america-statues/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-09T15:00:04+00:00,,review,https://www.slashfilm.com/571526/underwater-review-its-kristen-stewart-vs-sea-monsters-what-more-do-you-need/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-09T15:30:29+00:00,,review,https://www.slashfilm.com/571528/the-flash-movie-story/,,,,Automated collection; review subject and Gilligan flag manually.
,2020-01-09T15:54:00+00:00,,review,https://www.slashfilm.com/570943/birds-of-prey-trailer-new/,,,,Automated collection; review subject and Gilligan flag manually.
